Specific Heat Capacity [J/kg/K],CoolProp,,,CEA,,
Press.[bar]/Temp.[K],650,750,850,650,750,850
34.5,3655.29597170,3888.18968852,3662.67516408,3188.60000000,4177.20000000,5468.90000000
54.625,3526.21573377,3845.24714423,3775.57607927,3066.40000000,3905.10000000,4988.50000000
74.75,3469.76243605,3713.62512254,3798.53715912,2997.70000000,3751.80000000,4714.80000000
94.875,3436.16143786,3657.41858769,3780.74724640,2952.30000000,3650.20000000,4532.50000000
115,3413.26299420,3626.14234782,3762.36138755,2919.40000000,3576.60000000,4400.00000000
